"","taxa","Telfer_1_2"
"9","Erithacus rubecula",1.82806084659237
"8","Cyanistes caeruleus",1.75695281351532
"20","Turdus merula",1.10860024169303
"16","Prunella modularis",0.839931975707107
"17","Streptopelia decaocto",0.77770544178102
"11","Parus major",0.775756162288478
"15","Pica pica",0.556338163604749
"10","Fringilla coelebs",0.5083466820824
"13","Periparus ater",0.401533364995945
"5","Columba palumbus",0.307283619773043
"3","Carduelis chloris",0.080522231979811
"2","Carduelis carduelis",0.0347169233562789
"1","Aegithalos caudatus",-0.0255438540139649
"19","Troglodytes troglodytes",-0.590628210783662
"12","Passer domesticus",-0.738005245542068
"6","Corvus corone",-0.899387204632135
"18","Sturnus vulgaris",-0.907285084385985
"21","Turdus philomelos",-1.07445061649629
"4","Columba livia",-1.08987482460633
"7","Corvus monedula",-1.48068434945166
"14","Phasianus colchicus",-1.9115220907571
