Square,"% Land","% Sea"
SD84,7.0,0.0
SD90,27.5,0.0
SD91,23.8,0.0
SD92,69.6,0.0
SD93,59.9,0.0
SD94,82.5,0.0
SD95,24.7,0.0
SE00,71.0,0.0
SE01,100.0,0.0
SE02,100.0,0.0
SE03,100.0,0.0
SE04,43.2,0.0
SE10,92.0,0.0
SE11,100.0,0.0
SE12,100.0,0.0
SE13,85.9,0.0
SE14,0.5,0.0
SE20,100.0,0.0
SE21,100.0,0.0
SE22,100.0,0.0
SE23,55.7,0.0
SE30,100.0,0.0
SE31,100.0,0.0
SE32,94.6,0.0
SE33,7.6,0.0
SE40,100.0,0.0
SE41,100.0,0.0
SE42,65.1,0.0
SE50,100.0,0.0
SE51,100.0,0.0
SE52,54.6,0.0
SE60,97.0,0.0
SE61,100.0,0.0
SE62,34.2,0.0
SE70,21.2,0.0
SE71,77.0,0.0
SE72,44.9,1.6
SE81,12.8,0.0
SE82,18.7,1.2
SK18,0.1,0.0
SK19,37.2,0.0
SK28,46.0,0.0
SK29,100.0,0.0
SK38,65.5,0.0
SK39,100.0,0.0
SK47,2.4,0.0
SK48,73.8,0.0
SK49,100.0,0.0
SK57,4.0,0.0
SK58,69.9,0.0
SK59,99.4,0.0
SK69,40.0,0.0
